event_id,user_id,title_id,genre,event_date,watch_minutes
1,1,125,Drama,2022-01-15,26
2,1,113,Drama,2022-01-15,30
3,1,269,Drama,2022-01-15,61
4,1,48,Thriller,2022-01-25,93
5,1,208,Drama,2022-01-26,37
6,1,111,Drama,2022-01-26,105
7,1,170,Drama,2022-01-26,70
8,1,81,Drama,2022-01-30,25
9,1,123,Documentary,2022-01-30,30
10,1,46,Drama,2022-01-31,10
11,1,99,Documentary,2022-01-31,29
12,1,263,Drama,2022-02-02,62
13,1,15,Drama,2022-02-06,12
14,1,100,Drama,2022-02-09,17
15,1,77,Drama,2022-02-09,28
16,1,22,Drama,2022-02-24,38
17,1,196,Drama,2022-02-24,27
18,1,263,Drama,2022-03-07,83
19,1,55,Drama,2022-03-07,83
20,1,22,Drama,2022-03-07,28
21,1,199,Drama,2022-03-12,50
22,1,260,Action,2022-03-27,82
23,1,157,Documentary,2022-03-30,13
24,1,125,Drama,2022-04-03,50
25,1,143,Comedy,2022-04-06,93
26,1,286,Drama,2022-04-14,94
27,1,146,Drama,2022-04-18,37
28,1,55,Drama,2022-04-29,86
29,1,111,Drama,2022-05-05,92
30,1,262,Drama,2022-05-05,22
31,1,196,Drama,2022-05-06,44
32,1,111,Drama,2022-05-18,83
33,1,124,Drama,2022-05-18,30
34,1,196,Drama,2022-06-11,26
35,1,93,Drama,2022-06-24,77
36,1,290,Drama,2022-07-05,36
37,1,141,Drama,2022-07-18,65
38,1,172,Drama,2022-07-18,109
39,1,240,Drama,2022-07-18,85
40,1,93,Drama,2022-07-20,63
41,1,101,Drama,2022-08-01,24
42,1,104,Drama,2022-08-01,92
43,1,38,Kids,2022-08-03,85
44,1,101,Drama,2022-08-03,22
45,1,146,Drama,2022-08-07,19
46,1,172,Drama,2022-08-07,76
47,1,89,Drama,2022-08-19,72
48,1,100,Drama,2022-08-25,18
49,1,269,Drama,2022-08-25,85
50,1,268,Kids,2022-09-05,89
51,1,269,Drama,2022-09-05,63
52,1,95,Comedy,2022-09-09,50
53,1,262,Drama,2022-09-10,16
54,1,33,Action,2022-09-30,29
55,1,172,Drama,2022-09-30,92
56,1,227,Drama,2022-10-03,83
57,1,81,Drama,2022-10-03,25
58,1,29,Thriller,2022-10-12,2
59,1,277,Romance,2022-10-25,65
60,1,208,Drama,2022-10-25,45
61,1,124,Drama,2022-11-22,18
62,1,78,Drama,2022-11-29,25
