title_id,title,genre,release_year,runtime_min
1,Thriller Title 1,Thriller,2011,25
2,Thriller Title 2,Thriller,2014,50
3,Comedy Title 3,Comedy,2012,30
4,Thriller Title 4,Thriller,2021,30
5,Kids Title 5,Kids,2016,25
6,Drama Title 6,Drama,2011,50
7,Comedy Title 7,Comedy,2018,25
8,Kids Title 8,Kids,2013,110
9,Comedy Title 9,Comedy,2017,90
10,Romance Title 10,Romance,2023,25
11,Romance Title 11,Romance,2022,45
12,Thriller Title 12,Thriller,2016,100
13,Action Title 13,Action,2012,50
14,Romance Title 14,Romance,2015,30
15,Drama Title 15,Drama,2016,30
16,Action Title 16,Action,2023,100
17,Kids Title 17,Kids,2014,25
18,Thriller Title 18,Thriller,2017,30
19,Documentary Title 19,Documentary,2011,90
20,Romance Title 20,Romance,2020,100
21,Kids Title 21,Kids,2013,30
22,Drama Title 22,Drama,2020,50
23,Romance Title 23,Romance,2014,30
24,Romance Title 24,Romance,2013,30
25,Documentary Title 25,Documentary,2014,120
26,Thriller Title 26,Thriller,2023,100
27,Comedy Title 27,Comedy,2015,100
28,Comedy Title 28,Comedy,2020,90
29,Thriller Title 29,Thriller,2020,30
30,Kids Title 30,Kids,2020,45
31,Kids Title 31,Kids,2021,50
32,Comedy Title 32,Comedy,2017,110
33,Action Title 33,Action,2020,50
34,Thriller Title 34,Thriller,2015,25
35,Comedy Title 35,Comedy,2023,25
36,Romance Title 36,Romance,2015,110
37,Action Title 37,Action,2011,50
38,Kids Title 38,Kids,2021,100
39,Comedy Title 39,Comedy,2020,120
40,Documentary Title 40,Documentary,2020,120
41,Comedy Title 41,Comedy,2014,45
42,Comedy Title 42,Comedy,2021,90
43,Thriller Title 43,Thriller,2019,110
44,Kids Title 44,Kids,2016,100
45,Comedy Title 45,Comedy,2012,120
46,Drama Title 46,Drama,2022,25
47,Romance Title 47,Romance,2011,45
48,Thriller Title 48,Thriller,2012,110
49,Kids Title 49,Kids,2011,110
50,Documentary Title 50,Documentary,2019,120
51,Kids Title 51,Kids,2014,25
52,Thriller Title 52,Thriller,2021,30
53,Thriller Title 53,Thriller,2018,90
54,Romance Title 54,Romance,2020,100
55,Drama Title 55,Drama,2014,110
56,Comedy Title 56,Comedy,2017,25
57,Thriller Title 57,Thriller,2021,90
58,Kids Title 58,Kids,2022,45
59,Kids Title 59,Kids,2011,90
60,Romance Title 60,Romance,2020,50
61,Comedy Title 61,Comedy,2015,45
62,Kids Title 62,Kids,2022,25
63,Kids Title 63,Kids,2015,120
64,Drama Title 64,Drama,2011,100
65,Romance Title 65,Romance,2022,90
66,Comedy Title 66,Comedy,2010,50
67,Kids Title 67,Kids,2011,30
68,Thriller Title 68,Thriller,2017,30
69,Romance Title 69,Romance,2018,45
70,Comedy Title 70,Comedy,2020,120
71,Kids Title 71,Kids,2012,90
72,Kids Title 72,Kids,2023,110
73,Comedy Title 73,Comedy,2018,50
74,Thriller Title 74,Thriller,2014,110
75,Thriller Title 75,Thriller,2020,100
76,Documentary Title 76,Documentary,2018,120
77,Drama Title 77,Drama,2013,50
78,Drama Title 78,Drama,2015,25
79,Kids Title 79,Kids,2018,50
80,Kids Title 80,Kids,2013,25
81,Drama Title 81,Drama,2021,25
