cohort_month,cohort_size,watch_hours,sessions_per_user
2021-09,3,126.1,44.0
2021-10,3,87.5,28.0
2021-11,4,113.5,31.3
2021-12,4,139.4,37.8
2022-01,8,625.7,83.9
2022-02,5,308.5,68.8
2022-03,13,776.4,63.6
2022-04,19,952.4,56.5
2022-05,40,2034.1,55.7
2022-06,295,13934.3,52.4
2022-07,481,21147.6,48.5
2022-08,382,16604.9,47.6
2022-09,367,14352.4,43.2
2022-10,521,19851.5,41.8
2022-11,295,10679.8,39.6
2022-12,22,629.5,32.1
2023-01,12,346.5,30.3
2023-02,7,165.8,26.1
2023-03,6,93.8,19.3
2023-04,5,93.0,19.8
2023-05,5,70.8,15.4
2023-06,3,34.9,13.3
