cohort,month_index,active_users,cohort_size,retention
2021-09,0,3,3,1.0
2021-09,1,3,3,1.0
2021-09,2,2,3,0.667
2021-09,3,2,3,0.667
2021-09,4,2,3,0.667
2021-09,5,2,3,0.667
2021-09,6,2,3,0.667
2021-09,7,2,3,0.667
2021-09,8,2,3,0.667
2021-09,9,2,3,0.667
2021-09,10,2,3,0.667
2021-10,0,3,3,1.0
2021-10,1,3,3,1.0
2021-10,2,3,3,1.0
2021-10,3,3,3,1.0
2021-10,4,1,3,0.333
2021-10,6,1,3,0.333
2021-10,7,1,3,0.333
2021-10,8,1,3,0.333
2021-10,9,1,3,0.333
2021-10,10,1,3,0.333
2021-11,0,4,4,1.0
2021-11,1,4,4,1.0
2021-11,2,4,4,1.0
2021-11,3,3,4,0.75
2021-11,4,2,4,0.5
2021-11,5,2,4,0.5
2021-11,6,1,4,0.25
2021-12,0,3,4,0.75
2021-12,1,3,4,0.75
2021-12,2,4,4,1.0
2021-12,3,4,4,1.0
2021-12,4,2,4,0.5
2021-12,5,1,4,0.25
2021-12,6,2,4,0.5
2021-12,7,2,4,0.5
2021-12,8,2,4,0.5
2021-12,9,2,4,0.5
2021-12,10,1,4,0.25
2022-01,0,8,8,1.0
2022-01,1,8,8,1.0
2022-01,2,7,8,0.875
2022-01,3,8,8,1.0
2022-01,4,8,8,1.0
2022-01,5,8,8,1.0
2022-01,6,8,8,1.0
2022-01,7,7,8,0.875
2022-01,8,7,8,0.875
2022-01,9,7,8,0.875
2022-01,10,6,8,0.75
2022-01,11,5,8,0.625
2022-01,12,5,8,0.625
2022-01,13,5,8,0.625
2022-01,14,5,8,0.625
2022-01,15,5,8,0.625
2022-01,16,5,8,0.625
2022-01,17,4,8,0.5
2022-01,18,3,8,0.375
2022-02,0,4,5,0.8
2022-02,1,5,5,1.0
2022-02,2,5,5,1.0
2022-02,3,5,5,1.0
2022-02,4,4,5,0.8
2022-02,5,4,5,0.8
2022-02,6,4,5,0.8
2022-02,7,3,5,0.6
2022-02,8,3,5,0.6
2022-02,9,3,5,0.6
2022-02,10,3,5,0.6
2022-02,11,3,5,0.6
2022-02,12,3,5,0.6
2022-02,13,3,5,0.6
2022-02,14,3,5,0.6
2022-02,15,2,5,0.4
2022-02,16,3,5,0.6
2022-02,17,2,5,0.4
2022-03,0,13,13,1.0
2022-03,1,13,13,1.0
2022-03,2,12,13,0.923
2022-03,3,11,13,0.846
2022-03,4,11,13,0.846
2022-03,5,11,13,0.846
2022-03,6,10,13,0.769
2022-03,7,9,13,0.692
2022-03,8,9,13,0.692
2022-03,9,9,13,0.692
2022-03,10,6,13,0.462
2022-03,11,4,13,0.308
2022-03,12,3,13,0.231
2022-03,13,4,13,0.308
2022-03,14,4,13,0.308
2022-03,15,4,13,0.308
2022-03,16,4,13,0.308
2022-04,0,16,19,0.842
2022-04,1,18,19,0.947
2022-04,2,17,19,0.895
2022-04,3,17,19,0.895
2022-04,4,15,19,0.789
2022-04,5,15,19,0.789
2022-04,6,15,19,0.789
2022-04,7,11,19,0.579
2022-04,8,12,19,0.632
2022-04,9,12,19,0.632
2022-04,10,8,19,0.421
2022-04,11,7,19,0.368
2022-04,12,7,19,0.368
2022-04,13,7,19,0.368
2022-04,14,7,19,0.368
2022-04,15,6,19,0.316
2022-05,0,36,40,0.9
2022-05,1,39,40,0.975
2022-05,2,36,40,0.9
2022-05,3,34,40,0.85
2022-05,4,33,40,0.825
2022-05,5,32,40,0.8
2022-05,6,29,40,0.725
2022-05,7,25,40,0.625
2022-05,8,24,40,0.6
2022-05,9,24,40,0.6
2022-05,10,22,40,0.55
2022-05,11,16,40,0.4
2022-05,12,16,40,0.4
2022-05,13,16,40,0.4
2022-05,14,13,40,0.325
2022-06,0,257,295,0.871
2022-06,1,294,295,0.997
2022-06,2,258,295,0.875
2022-06,3,253,295,0.858
2022-06,4,207,295,0.702
2022-06,5,211,295,0.715
2022-06,6,205,295,0.695
2022-06,7,176,295,0.597
2022-06,8,174,295,0.59
2022-06,9,175,295,0.593
2022-06,10,173,295,0.586
2022-06,11,128,295,0.434
2022-06,12,129,295,0.437
2022-06,13,118,295,0.4
2022-07,0,454,481,0.944
2022-07,1,469,481,0.975
2022-07,2,421,481,0.875
2022-07,3,403,481,0.838
2022-07,4,338,481,0.703
2022-07,5,338,481,0.703
2022-07,6,306,481,0.636
2022-07,7,261,481,0.543
2022-07,8,261,481,0.543
2022-07,9,260,481,0.541
2022-07,10,242,481,0.503
2022-07,11,190,481,0.395
2022-07,12,171,481,0.356
2022-08,0,359,382,0.94
2022-08,1,375,382,0.982
2022-08,2,332,382,0.869
2022-08,3,308,382,0.806
2022-08,4,276,382,0.723
2022-08,5,279,382,0.73
2022-08,6,262,382,0.686
2022-08,7,222,382,0.581
2022-08,8,219,382,0.573
2022-08,9,222,382,0.581
2022-08,10,193,382,0.505
2022-08,11,144,382,0.377
2022-09,0,343,367,0.935
2022-09,1,359,367,0.978
2022-09,2,314,367,0.856
2022-09,3,302,367,0.823
2022-09,4,263,367,0.717
2022-09,5,260,367,0.708
2022-09,6,234,367,0.638
2022-09,7,193,367,0.526
2022-09,8,198,367,0.54
2022-09,9,197,367,0.537
2022-09,10,163,367,0.444
2022-10,0,476,521,0.914
2022-10,1,513,521,0.985
2022-10,2,463,521,0.889
2022-10,3,439,521,0.843
2022-10,4,386,521,0.741
2022-10,5,384,521,0.737
2022-10,6,361,521,0.693
2022-10,7,303,521,0.582
2022-10,8,303,521,0.582
2022-10,9,266,521,0.511
