event_date,dau
2021-09-05,1
2021-09-11,1
2021-09-13,1
2021-09-15,1
2021-09-18,1
2021-09-20,1
2021-09-24,1
2021-09-28,2
2021-09-29,1
2021-10-01,1
2021-10-04,2
2021-10-05,1
2021-10-08,1
2021-10-09,1
2021-10-10,1
2021-10-11,1
2021-10-12,1
2021-10-14,2
2021-10-15,1
2021-10-16,1
2021-10-17,1
2021-10-18,2
2021-10-19,2
2021-10-21,1
2021-10-22,1
2021-10-23,1
2021-10-25,1
2021-10-29,1
2021-10-30,1
2021-10-31,2
2021-11-01,1
2021-11-04,2
2021-11-05,1
2021-11-06,2
2021-11-07,1
2021-11-08,1
2021-11-09,2
2021-11-10,1
2021-11-11,5
2021-11-12,2
2021-11-13,2
2021-11-14,1
2021-11-15,1
2021-11-17,1
2021-11-19,3
2021-11-22,1
2021-11-23,6
2021-11-25,1
2021-11-27,1
2021-11-28,1
2021-11-30,3
2021-12-01,1
2021-12-04,2
2021-12-06,1
2021-12-07,1
2021-12-08,4
2021-12-09,1
2021-12-14,2
2021-12-15,3
2021-12-16,1
2021-12-17,1
2021-12-18,3
2021-12-20,1
2021-12-21,3
2021-12-22,5
2021-12-23,2
2021-12-24,1
2021-12-25,3
2021-12-26,2
2021-12-28,2
2021-12-29,2
2021-12-30,3
2021-12-31,1
2022-01-01,2
2022-01-02,1
2022-01-03,2
2022-01-04,2
2022-01-05,3
2022-01-06,1
2022-01-07,1
2022-01-08,4
2022-01-09,4
2022-01-10,3
2022-01-11,2
2022-01-12,1
2022-01-13,4
2022-01-14,2
2022-01-15,2
2022-01-16,5
2022-01-17,2
2022-01-18,1
2022-01-19,1
2022-01-20,2
2022-01-21,3
2022-01-22,1
2022-01-23,4
2022-01-24,3
2022-01-25,3
2022-01-26,2
2022-01-27,6
2022-01-28,4
2022-01-29,2
2022-01-30,6
2022-01-31,4
2022-02-01,3
2022-02-02,2
2022-02-03,1
2022-02-04,4
2022-02-05,1
2022-02-06,7
2022-02-07,2
2022-02-08,6
2022-02-09,3
2022-02-10,2
2022-02-11,3
2022-02-12,3
2022-02-13,6
2022-02-14,3
2022-02-15,5
2022-02-16,4
2022-02-17,7
2022-02-18,1
2022-02-19,2
2022-02-20,1
2022-02-21,4
2022-02-22,6
2022-02-23,4
2022-02-24,6
2022-02-25,3
2022-02-27,3
2022-02-28,5
2022-03-01,5
2022-03-02,3
2022-03-03,1
2022-03-04,4
2022-03-05,6
2022-03-06,6
2022-03-07,5
2022-03-08,7
2022-03-09,3
2022-03-10,6
2022-03-11,3
2022-03-12,8
2022-03-13,2
2022-03-14,4
2022-03-15,5
2022-03-16,3
2022-03-17,3
2022-03-18,3
2022-03-19,7
2022-03-20,5
2022-03-21,8
2022-03-22,5
2022-03-23,2
2022-03-24,6
2022-03-25,6
2022-03-26,2
2022-03-27,7
2022-03-28,9
2022-03-29,4
2022-03-30,2
2022-03-31,7
2022-04-01,7
2022-04-02,5
2022-04-03,7
2022-04-04,6
2022-04-05,6
2022-04-06,4
2022-04-07,6
2022-04-08,2
2022-04-09,9
2022-04-10,4
2022-04-11,4
2022-04-12,5
2022-04-13,5
2022-04-14,7
2022-04-15,10
2022-04-16,6
2022-04-17,5
2022-04-18,5
2022-04-19,3
2022-04-20,6
2022-04-21,5
2022-04-22,11
2022-04-23,7
2022-04-24,7
2022-04-25,6
2022-04-26,6
2022-04-27,5
2022-04-28,12
2022-04-29,8
2022-04-30,5
2022-05-01,5
2022-05-02,14
2022-05-03,8
2022-05-04,10
2022-05-05,7
2022-05-06,4
2022-05-07,4
2022-05-08,5
2022-05-09,8
2022-05-10,8
2022-05-11,8
2022-05-12,10
2022-05-13,4
2022-05-14,11
2022-05-15,8
2022-05-16,12
2022-05-17,11
2022-05-18,7
2022-05-19,8
2022-05-20,9
2022-05-21,7
2022-05-22,10
2022-05-23,8
2022-05-24,8
2022-05-25,14
2022-05-26,14
2022-05-27,9
2022-05-28,13
2022-05-29,11
2022-05-30,14
2022-05-31,20
2022-06-01,19
2022-06-02,14
2022-06-03,19
2022-06-04,21
2022-06-05,19
2022-06-06,17
2022-06-07,19
2022-06-08,18
2022-06-09,28
2022-06-10,25
2022-06-11,31
2022-06-12,27
2022-06-13,31
2022-06-14,41
2022-06-15,35
2022-06-16,25
2022-06-17,34
2022-06-18,42
2022-06-19,44
2022-06-20,34
2022-06-21,43
2022-06-22,46
2022-06-23,44
2022-06-24,52
2022-06-25,55
2022-06-26,67
2022-06-27,50
2022-06-28,59
2022-06-29,77
2022-06-30,88
2022-07-01,84
2022-07-02,66
2022-07-03,97
2022-07-04,90
2022-07-05,86
2022-07-06,111
2022-07-07,79
2022-07-08,94
2022-07-09,103
2022-07-10,111
2022-07-11,113
2022-07-12,106
2022-07-13,119
2022-07-14,104
2022-07-15,140
2022-07-16,145
2022-07-17,127
2022-07-18,151
2022-07-19,147
2022-07-20,164
2022-07-21,140
2022-07-22,151
2022-07-23,138
2022-07-24,143
2022-07-25,139
2022-07-26,176
2022-07-27,144
2022-07-28,151
2022-07-29,149
2022-07-30,158
2022-07-31,137
2022-08-01,159
2022-08-02,144
2022-08-03,134
2022-08-04,165
2022-08-05,166
2022-08-06,151
2022-08-07,149
2022-08-08,153
2022-08-09,158
2022-08-10,164
2022-08-11,158
2022-08-12,181
2022-08-13,178
2022-08-14,179
2022-08-15,161
2022-08-16,175
2022-08-17,177
2022-08-18,175
2022-08-19,148
2022-08-20,194
2022-08-21,174
2022-08-22,156
2022-08-23,179
2022-08-24,171
2022-08-25,173
2022-08-26,168
2022-08-27,169
2022-08-28,180
2022-08-29,160
2022-08-30,168
2022-08-31,199
2022-09-01,191
2022-09-02,162
2022-09-03,175
2022-09-04,184
2022-09-05,188
2022-09-06,195
2022-09-07,184
2022-09-08,188
2022-09-09,198
2022-09-10,191
2022-09-11,189
2022-09-12,187
2022-09-13,201
2022-09-14,184
2022-09-15,208
2022-09-16,215
2022-09-17,226
2022-09-18,208
2022-09-19,197
2022-09-20,202
2022-09-21,210
2022-09-22,189
2022-09-23,207
2022-09-24,209
2022-09-25,207
2022-09-26,207
2022-09-27,198
2022-09-28,202
2022-09-29,189
2022-09-30,225
2022-10-01,226
2022-10-02,196
2022-10-03,196
2022-10-04,221
2022-10-05,225
2022-10-06,201
2022-10-07,214
2022-10-08,237
2022-10-09,224
2022-10-10,220
2022-10-11,228
2022-10-12,233
2022-10-13,214
2022-10-14,211
2022-10-15,231
2022-10-16,249
2022-10-17,245
2022-10-18,249
2022-10-19,254
2022-10-20,218
2022-10-21,253
2022-10-22,242
2022-10-23,237
2022-10-24,236
2022-10-25,255
2022-10-26,255
2022-10-27,278
2022-10-28,257
2022-10-29,283
2022-10-30,249
2022-10-31,281
2022-11-01,282
2022-11-02,298
2022-11-03,282
2022-11-04,256
2022-11-05,273
2022-11-06,283
2022-11-07,300
2022-11-08,288
2022-11-09,301
2022-11-10,301
2022-11-11,301
2022-11-12,296
2022-11-13,300
2022-11-14,293
2022-11-15,278
2022-11-16,283
2022-11-17,302
2022-11-18,293
2022-11-19,276
2022-11-20,305
2022-11-21,275
2022-11-22,278
2022-11-23,281
2022-11-24,270
2022-11-25,282
2022-11-26,278
2022-11-27,280
2022-11-28,237
2022-11-29,291
2022-11-30,272
2022-12-01,233
2022-12-02,265
2022-12-03,260
2022-12-04,238
2022-12-05,243
2022-12-06,230
2022-12-07,247
2022-12-08,242
2022-12-09,274
2022-12-10,219
2022-12-11,241
2022-12-12,239
2022-12-13,246
2022-12-14,248
2022-12-15,245
2022-12-16,249
2022-12-17,247
2022-12-18,211
2022-12-19,216
