user_id,subscription_type,country,device,cohort,days_since_last_seen,churned
1,Basic,United States,Smartphone,2022-01,59,True
2,Premium,Canada,Tablet,2021-09,649,True
3,Standard,United Kingdom,Smart TV,2023-02,7,False
4,Standard,Australia,Laptop,2022-07,2,False
5,Basic,Germany,Smartphone,2023-05,6,False
6,Premium,France,Smart TV,2022-03,13,False
7,Standard,Brazil,Tablet,2021-12,497,True
8,Basic,Mexico,Laptop,2023-04,76,True
9,Standard,Spain,Smartphone,2022-10,178,True
10,Premium,Italy,Smart TV,2023-01,99,True
11,Basic,United States,Smartphone,2022-05,260,True
12,Premium,Canada,Tablet,2023-03,11,False
13,Standard,United Kingdom,Laptop,2021-11,502,True
14,Basic,Australia,Smartphone,2022-08,321,True
15,Standard,Germany,Smart TV,2023-05,5,False
16,Premium,France,Tablet,2022-04,4,False
17,Basic,Brazil,Laptop,2022-01,359,True
18,Standard,Mexico,Smartphone,2021-10,346,True
19,Premium,Spain,Smart TV,2023-02,13,False
20,Basic,Italy,Tablet,2023-05,6,False
21,Premium,United States,Laptop,2023-06,4,False
22,Basic,Canada,Smartphone,2022-07,283,True
23,Standard,United Kingdom,Smart TV,2021-12,290,True
24,Standard,Australia,Tablet,2022-04,168,True
25,Basic,Germany,Laptop,2023-03,12,False
26,Premium,France,Smartphone,2022-01,2,False
27,Basic,Brazil,Smart TV,2022-08,241,True
28,Standard,Mexico,Tablet,2021-09,363,True
29,Premium,Spain,Laptop,2022-12,132,True
30,Basic,Italy,Smartphone,2023-05,28,False
31,Premium,United States,Smart TV,2023-02,99,True
32,Basic,Canada,Tablet,2022-07,343,True
33,Standard,United Kingdom,Laptop,2022-01,257,True
34,Standard,Australia,Smartphone,2022-05,122,True
35,Basic,Germany,Smart TV,2023-04,3,False
36,Premium,France,Tablet,2022-03,201,True
37,Basic,Brazil,Laptop,2022-09,217,True
38,Standard,Mexico,Smartphone,2021-11,531,True
39,Premium,Spain,Smart TV,2022-12,3,False
40,Basic,Italy,Tablet,2023-03,1,False
